commander_id,commander_name,classification,command,rank,number_of_soldiers,role
6001,Kevan Mariel,1,Northern,seren,21982,commander of pluga
6002,Shepherd Karlowicz,4,Northern,seren,98030,commander of pluga
6003,Gennie Camili,2,Southern,aluf,63411,commander of pluga
6004,Bobbe Curzon,2,Home Front,seren,40858,commander of pluga
6005,Delilah Cowcha,5,Home Front,sgan aluf,32967,commander of gdud
6006,Meta Broscombe,5,Northern,rav seren,86328,commander of pluga
6007,Rosie Peskett,1,Southern,rav seren,92039,commander of pluga
6008,Jedediah Itzakovitz,1,Southern,seren,96479,commander of pluga
6009,Kaiser Gadson,4,Home Front,aluf,17558,commander of gdud
6010,Dev Ducroe,5,Home Front,aluf,85455,commander of pluga
6011,Moreen Balke,5,Southern,rav seren,57329,commander of pluga
6012,Suellen Yitzovitz,4,Home Front,aluf,60282,commander of gdud
6013,Pat Platts,4,Southern,tat aluf,11253,commander of ugda
6014,Carroll Jonk,2,Southern,rav seren,20686,commander of pluga
6015,Rose Little,4,Southern,sgan aluf,78710,commander of gdud
6016,Tana Furphy,2,Central,rav seren,73300,commander of pluga
6017,Irma Sessuns,2,Home Front,aluf mishne,58397,commander of chativa
6018,Teodora Millar,5,Central,aluf mishne,20329,commander of chativa
6019,Melba Brookesbie,2,Northern,seren,36158,commander of pluga
6020,Jyoti Carne,1,Northern,seren,8311,commander of pluga
6021,Celka Crampsy,3,Northern,sgan aluf,31247,commander of gdud
6022,Talya MacUchadair,1,Southern,seren,14333,commander of pluga
6023,Cally Gaughan,4,Central,rav seren,90684,commander of pluga
6024,Alecia Boulger,1,Northern,seren,37280,commander of pluga
6025,Cosimo Alywin,1,Home Front,seren,16342,commander of pluga
6026,Almira Gilhouley,5,Northern,tat aluf,99684,commander of ugda
6027,Dari Bullcock,1,Central,seren,25169,commander of pluga
6028,Augusta Timmis,4,Southern,aluf,10561,commander of pluga
6029,Stewart Kennler,4,Southern,aluf mishne,51025,commander of chativa
6030,Gibby Beazer,2,Southern,tat aluf,53648,commander of ugda
6031,Lowe Binding,2,Southern,tat aluf,71588,commander of ugda
6032,Trenna Ianitti,2,Central,aluf,88019,commander of pluga
6033,Jessie Meeus,3,Southern,seren,37446,commander of pluga
6034,Ruthe Barrell,4,Home Front,aluf,84717,commander of gdud
6035,Lidia Walaron,5,Northern,aluf,16509,commander of command
6036,Retha Kelloway,4,Central,seren,61959,commander of pluga
6037,Sayre Renfrew,5,Central,tat aluf,5026,commander of ugda
6038,Freedman Eiler,5,Central,sgan aluf,51416,commander of pluga
6039,Shari Marley,4,Home Front,seren,54105,commander of pluga
6040,Boniface De Francesco,4,Southern,aluf mishne,58274,commander of chativa
6041,Burch Friend,4,Northern,tat aluf,56398,commander of ugda
6042,Leann Pettegree,1,Northern,rav seren,13446,commander of pluga
6043,Rania Carreyette,3,Central,seren,23689,commander of pluga
6044,Maury Creedland,3,Southern,sgan aluf,95403,commander of gdud
6045,Timothea Pickavant,5,Northern,rav seren,66760,commander of pluga
6046,Waldemar Draaisma,2,Southern,rav seren,41175,commander of pluga
6047,Nollie Khilkov,5,Home Front,aluf,33089,commander of command
6048,Cindelyn Dreinan,2,Home Front,tat aluf,61590,commander of ugda
6049,Wit Hazeldine,4,Southern,aluf mishne,6981,commander of chativa
6050,Danika Janse,3,Home Front,aluf,93405,commander of pluga
6051,Rainer Tattershall,4,Northern,tat aluf,26500,commander of ugda
6052,Lissa Wellwood,5,Central,seren,83644,commander of pluga
6053,Kat Earney,5,Northern,tat aluf,37663,commander of ugda
6054,Job Culham,1,Central,aluf mishne,80307,commander of chativa
6055,Ruprecht Snodin,2,Home Front,aluf mishne,37711,commander of chativa
6056,Alessandro Compson,3,Southern,seren,98926,commander of pluga
6057,Jeremy Simner,4,Southern,aluf mishne,77434,commander of chativa
6058,Leonerd Bampford,5,Central,seren,4830,commander of pluga
6059,Rosemarie Dellenbach,2,Northern,sgan aluf,4194,commander of pluga
6060,Marigold Jedraszczyk,5,Southern,aluf,32580,commander of command
6061,Ase Duddell,1,Home Front,sgan aluf,70901,commander of gdud
6062,Wayland Tarbatt,4,Home Front,rav seren,57501,commander of pluga
6063,Leroi O'Geaney,2,Central,aluf mishne,97275,commander of chativa
6064,Ted Albertson,4,Southern,seren,99040,commander of pluga
6065,Marylou Proudlock,4,Northern,rav seren,51799,commander of pluga
6066,Hettie Cretney,3,Home Front,sgan aluf,57964,commander of gdud
6067,Papagena Errett,2,Southern,aluf,63287,commander of gdud
6068,Zorana Michurin,2,Southern,seren,1225,commander of pluga
6069,Grace Mains,1,Northern,sgan aluf,81688,commander of gdud
6070,Drucie Westwater,3,Northern,rav seren,51396,commander of pluga
6071,Lowell Thombleson,1,Southern,sgan aluf,91409,commander of pluga
6072,Shelden Flintiff,2,Home Front,tat aluf,32501,commander of ugda
6073,Odella Vischi,3,Central,aluf mishne,63760,commander of chativa
6074,Cory Glanville,1,Home Front,aluf,31744,commander of pluga
6075,Agata Slateford,4,Home Front,rav seren,97301,commander of pluga
6076,Carita Whitta,4,Southern,sgan aluf,31745,commander of pluga
6077,Letti Thornton-Dewhirst,3,Northern,seren,60595,commander of pluga
6078,Currey Bamb,2,Northern,rav seren,85102,commander of pluga
6079,Jodie Petofi,4,Home Front,aluf,5364,commander of pluga
6080,Dmitri Mustard,5,Southern,aluf mishne,24411,commander of chativa
6081,Ailis Norkutt,1,Northern,rav seren,19891,commander of pluga
6082,Staffard Baline,1,Central,rav seren,61625,commander of pluga
6083,Natalie Rossborough,4,Home Front,rav seren,80957,commander of pluga
6084,Erica Stearn,1,Southern,tat aluf,82655,commander of ugda
6085,Ingram Godilington,2,Central,aluf,14495,commander of gdud
6086,Cherye Gravatt,1,Southern,aluf,52535,commander of gdud
6087,Sonni Juliff,4,Home Front,tat aluf,36133,commander of ugda
6088,Corliss Phythean,2,Northern,tat aluf,45383,commander of ugda
6089,Ruby Preece,4,Northern,rav seren,30381,commander of pluga
6090,Baryram Ilymanov,4,Southern,seren,18533,commander of pluga
6091,Loralyn McColley,1,Central,rav seren,53802,commander of pluga
6092,Sari McPake,5,Southern,seren,3390,commander of pluga
6093,Barrett Nowakowska,4,Central,aluf mishne,99039,commander of chativa
6094,Anallese Giacomo,4,Home Front,tat aluf,51402,commander of ugda
6095,Goldia Skeldon,4,Northern,aluf mishne,40029,commander of chativa
6096,Wain McCullagh,5,Northern,aluf mishne,41294,commander of chativa
6097,Sasha Stockle,3,Northern,aluf,4566,commander of command
6098,Lannie Berryann,3,Southern,rav seren,21989,commander of pluga
6099,Andres Pearcy,5,Home Front,aluf mishne,45266,commander of chativa
6100,Alfons Tossell,5,Central,aluf,98096,commander of command
6101,Antonetta Jurewicz,4,Northern,sgan aluf,52146,commander of pluga
6102,Berne Revie,4,Home Front,sgan aluf,59795,commander of pluga
6103,Lynnea Cutsforth,1,Northern,aluf,76117,commander of pluga
