commander_id,commander_name,classification,command,rank,number_of_soldiers,role
16001,De witt Naughton,5,Southern,aluf,71692,commander of pluga
16002,Maire Gaize,4,Home Front,seren,69566,commander of pluga
16003,Caye Fearick,4,Northern,seren,72269,commander of pluga
16004,Patty Oliveti,1,Northern,rav seren,21699,commander of pluga
16005,Barry Tondeur,4,Home Front,tat aluf,73983,commander of ugda
16006,Roderic Benton,3,Central,tat aluf,37307,commander of ugda
16007,Emlynne Erswell,1,Home Front,aluf mishne,54065,commander of chativa
16008,Cymbre Seak,4,Central,aluf,85189,commander of command
16009,Emmey Schleicher,5,Central,tat aluf,12725,commander of ugda
16010,Kore Phorsby,5,Home Front,seren,60124,commander of pluga
16011,Dniren Paten,5,Home Front,rav seren,83743,commander of pluga
16012,Barton Rieger,5,Northern,aluf,75088,commander of pluga
16013,Elvera Peschke,5,Central,tat aluf,22885,commander of ugda
16014,Claire Foyston,1,Central,sgan aluf,87105,commander of gdud
16015,Robinette Vernazza,4,Northern,aluf,23453,commander of command
16016,Tony Sibun,1,Northern,aluf,72675,commander of command
16017,Selinda Yoodall,1,Southern,rav seren,76115,commander of pluga
16018,Darline Karlsson,5,Northern,aluf mishne,35619,commander of chativa
16019,Doy Chettle,5,Central,tat aluf,85551,commander of ugda
16020,Clemente Tournay,3,Southern,tat aluf,97726,commander of ugda
16021,Alli Vaulkhard,5,Southern,seren,32079,commander of pluga
16022,Cyb Reede,2,Southern,tat aluf,84920,commander of ugda
16023,Lusa Charrisson,2,Home Front,tat aluf,80445,commander of ugda
16024,Bamby Borrel,4,Southern,seren,8649,commander of pluga
16025,Derek Moss,1,Northern,sgan aluf,44741,commander of gdud
16026,Mady Jeckell,4,Central,seren,65105,commander of pluga
16027,Justina Lerego,4,Central,seren,81447,commander of pluga
16028,Tate Barbrick,4,Southern,tat aluf,44622,commander of ugda
16029,Sutherlan Mion,1,Southern,aluf,3841,commander of gdud
16030,Morry Honig,1,Central,rav seren,79756,commander of pluga
16031,Temple De Nisco,4,Home Front,aluf mishne,96866,commander of chativa
16032,Dorella Deverson,4,Northern,rav seren,57901,commander of pluga
16033,Roxi Crier,5,Northern,tat aluf,40722,commander of ugda
16034,Hally Keward,3,Home Front,rav seren,58861,commander of pluga
16035,Ellis Matterface,4,Northern,tat aluf,26520,commander of ugda
16036,Malcolm Whibley,1,Central,sgan aluf,25066,commander of pluga
16037,Amandie Tewkesbury.,5,Northern,aluf mishne,26479,commander of chativa
16038,Abbot Iddison,5,Southern,rav seren,22947,commander of pluga
16039,Leonardo Blandamere,1,Southern,sgan aluf,72515,commander of pluga
16040,Marla Amori,5,Central,aluf mishne,14598,commander of chativa
16041,Alistair Drysdale,1,Southern,aluf mishne,46661,commander of chativa
16042,Stephine Romanski,2,Central,rav seren,17122,commander of pluga
16043,Raven Iglesiaz,1,Northern,rav seren,40442,commander of pluga
16044,Faith Klyn,4,Northern,aluf,83505,commander of gdud
16045,Westbrook Andresser,3,Central,seren,89852,commander of pluga
16046,Lindon Ferriday,2,Central,rav seren,12817,commander of pluga
16047,Miller Waylen,4,Southern,seren,68407,commander of pluga
16048,Stanly Treversh,5,Central,aluf mishne,76261,commander of chativa
16049,Jaclyn Hasley,3,Home Front,aluf,64649,commander of pluga
16050,Giorgi Eltun,5,Home Front,aluf mishne,88120,commander of chativa
16051,Nerty Roalfe,4,Northern,aluf,14173,commander of gdud
16052,Giovanna De Hooch,3,Northern,sgan aluf,47985,commander of pluga
16053,Javier Bortoli,2,Northern,aluf,6386,commander of command
16054,Faustine Cramb,1,Home Front,tat aluf,44935,commander of ugda
16055,Gerty Callery,4,Central,sgan aluf,20569,commander of pluga
16056,Selena Corthes,2,Central,seren,15482,commander of pluga
16057,Konstantine Casolla,3,Southern,sgan aluf,14077,commander of pluga
