commander_id,commander_name,classification,command,rank,number_of_soldiers,role
19001,Timmy Bauldrey,2,Northern,aluf mishne,55684,commander of chativa
19002,Darnall Hame,1,Southern,rav seren,79557,commander of pluga
19003,Sullivan Davidovits,1,Home Front,sgan aluf,91864,commander of gdud
19004,Joshuah Balmforth,2,Home Front,aluf,88373,commander of pluga
19005,Raye Brightman,5,Southern,aluf mishne,60584,commander of chativa
19006,Armand Barbey,4,Home Front,aluf,63341,commander of pluga
19007,Bartel Meddows,5,Southern,aluf mishne,46968,commander of chativa
19008,Pooh Blackburne,5,Northern,seren,7594,commander of pluga
19009,Ingrim Kmietsch,2,Central,sgan aluf,15830,commander of gdud
19010,Alfi Hauxley,1,Home Front,aluf mishne,48652,commander of chativa
19011,Nicolai Farfull,1,Southern,sgan aluf,63612,commander of pluga
19012,Jill Fahey,4,Northern,rav seren,36612,commander of pluga
19013,Drusie Hearne,2,Southern,tat aluf,51959,commander of ugda
19014,Kele Klimpke,3,Northern,tat aluf,98712,commander of ugda
19015,Kare Gonnelly,5,Home Front,tat aluf,78009,commander of ugda
19016,Heda Furmenger,1,Northern,sgan aluf,76221,commander of pluga
19017,Debi Wagstaffe,4,Central,seren,70039,commander of pluga
19018,Nady Bart,1,Northern,seren,10609,commander of pluga
19019,Frances Atwater,3,Southern,sgan aluf,96056,commander of gdud
19020,Maia Turneaux,2,Northern,sgan aluf,35703,commander of pluga
19021,Marleen Pierce,4,Central,aluf,68802,commander of pluga
19022,Dru Whiley,4,Home Front,seren,61992,commander of pluga
19023,Reinald Batram,4,Northern,seren,82897,commander of pluga
19024,Nonna Quillinane,1,Northern,aluf,64498,commander of command
19025,Taber Eland,3,Central,tat aluf,94994,commander of ugda
19026,Jehanna Mallabar,4,Central,aluf,9442,commander of command
19027,Taffy Curnok,3,Southern,seren,78811,commander of pluga
19028,Kellyann Smitten,1,Southern,aluf mishne,98637,commander of chativa
19029,Benji Edlyn,2,Northern,rav seren,86578,commander of pluga
19030,Thorndike Tiery,5,Southern,aluf mishne,1449,commander of chativa
19031,Bartlet Shill,3,Home Front,sgan aluf,72335,commander of gdud
19032,Monti Peatheyjohns,4,Central,sgan aluf,49974,commander of pluga
19033,Tasia Wagen,3,Central,tat aluf,13473,commander of ugda
19034,Clarence Balharry,4,Northern,aluf mishne,70826,commander of chativa
19035,Adela Jeandin,2,Southern,aluf,50638,commander of command
19036,Jilleen Finders,4,Northern,aluf mishne,79609,commander of chativa
19037,Dur Puttock,4,Northern,aluf mishne,43409,commander of chativa
19038,Artus Broyd,2,Northern,rav seren,38631,commander of pluga
19039,Walden Wathall,2,Northern,seren,72373,commander of pluga
19040,Sherill Allanby,2,Central,tat aluf,92993,commander of ugda
19041,Shurlock Slayford,1,Southern,tat aluf,71083,commander of ugda
19042,Katherina Wiggett,4,Southern,aluf mishne,39508,commander of chativa
19043,Neil Crichmer,3,Home Front,seren,28443,commander of pluga
19044,Sascha Golland,3,Southern,seren,9770,commander of pluga
19045,Lamond Barns,5,Home Front,sgan aluf,69351,commander of pluga
19046,Rosabella Quince,2,Central,rav seren,41331,commander of pluga
19047,Paquito McPhate,2,Central,sgan aluf,76766,commander of gdud
19048,Isaac Lakenton,3,Home Front,sgan aluf,60364,commander of pluga
19049,Jarad Scotchmoor,3,Central,aluf mishne,83715,commander of chativa
19050,Leslie Lashbrook,4,Central,tat aluf,12003,commander of ugda
19051,Alex Faulkner,3,Home Front,sgan aluf,49435,commander of gdud
19052,Gabie Raggitt,2,Southern,rav seren,96741,commander of pluga
19053,Marcelo Robbie,1,Northern,tat aluf,64211,commander of ugda
19054,Gilles Kubek,1,Southern,aluf mishne,93030,commander of chativa
19055,Karyn Glede,3,Home Front,seren,9285,commander of pluga
19056,Bernardo Gilham,2,Northern,aluf mishne,78652,commander of chativa
19057,Brianna Uden,1,Southern,rav seren,48601,commander of pluga
19058,Riley O'Gaven,1,Northern,aluf,98844,commander of gdud
19059,Homer Hemphall,2,Northern,aluf mishne,6697,commander of chativa
19060,Rinaldo Haigh,3,Northern,aluf mishne,43940,commander of chativa
19061,Mallory Pendre,2,Northern,tat aluf,73517,commander of ugda
19062,Modesta Kleisle,3,Southern,seren,56867,commander of pluga
19063,Sophia Sabathe,3,Southern,rav seren,6211,commander of pluga
19064,Camille Chatelet,4,Home Front,aluf,40044,commander of command
19065,Bernie Babcock,4,Central,sgan aluf,80596,commander of gdud
19066,Emmey Abella,1,Northern,tat aluf,93155,commander of ugda
19067,Nyssa Jirasek,4,Southern,aluf,45896,commander of gdud
19068,Mahala Gittins,3,Northern,tat aluf,71255,commander of ugda
19069,Burt Tuny,5,Home Front,rav seren,42532,commander of pluga
19070,Sim Sahlstrom,2,Northern,aluf,24743,commander of command
19071,Eunice Piatti,3,Home Front,sgan aluf,66491,commander of pluga
19072,Latrena Malamore,5,Northern,aluf,26020,commander of command
19073,Tully Tiernan,3,Northern,aluf mishne,66095,commander of chativa
19074,Dniren Phillcock,2,Central,sgan aluf,93180,commander of gdud
19075,Pamela Jellis,3,Central,tat aluf,41804,commander of ugda
