commander_id,commander_name,classification,command,rank,number_of_soldiers,role
18001,Prue Leitche,5,Southern,tat aluf,50537,commander of ugda
18002,Caesar Maulin,5,Southern,aluf,67387,commander of gdud
18003,Madlen Cadge,1,Northern,sgan aluf,17313,commander of gdud
18004,Noam Digges,3,Central,seren,75942,commander of pluga
18005,Peder Eccleston,3,Home Front,aluf mishne,28469,commander of chativa
18006,Arne Secret,4,Central,aluf,18432,commander of command
18007,Judon Torre,5,Southern,sgan aluf,50308,commander of gdud
18008,Onfre Dursley,3,Northern,sgan aluf,72459,commander of pluga
18009,Odessa Iacopini,4,Northern,sgan aluf,97914,commander of gdud
18010,Aggy McKeurton,4,Central,aluf,72624,commander of gdud
18011,Delcine Scothron,5,Northern,sgan aluf,45735,commander of pluga
18012,Fredi Aylmer,4,Home Front,aluf,50111,commander of pluga
18013,Rachele Marchington,5,Home Front,rav seren,93697,commander of pluga
18014,Ev Stollenbecker,5,Central,seren,39865,commander of pluga
18015,Annabell Maddyson,3,Northern,rav seren,11147,commander of pluga
18016,Ted Fochs,5,Home Front,tat aluf,14608,commander of ugda
18017,Anne McOwan,3,Northern,rav seren,4469,commander of pluga
18018,Pancho Bank,1,Home Front,seren,52877,commander of pluga
18019,Trevar McKinie,1,Home Front,seren,61073,commander of pluga
18020,Dominique Antic,4,Central,rav seren,6442,commander of pluga
18021,Tiffany Micallef,5,Northern,seren,45474,commander of pluga
18022,Tova Isgar,1,Southern,rav seren,45168,commander of pluga
18023,Corinna Chatters,2,Northern,rav seren,1184,commander of pluga
18024,Jacqueline Bulward,1,Central,tat aluf,91321,commander of ugda
18025,Sara-ann Crates,2,Northern,rav seren,66049,commander of pluga
18026,Albertine Traher,5,Central,aluf mishne,44445,commander of chativa
18027,Cloe Abbe,2,Home Front,sgan aluf,76307,commander of gdud
18028,Yale Oury,1,Northern,aluf mishne,63472,commander of chativa
18029,Lanni Bartocci,3,Home Front,aluf,12592,commander of gdud
18030,Emmey Vivians,1,Northern,aluf mishne,97917,commander of chativa
18031,Jacenta Clawsley,4,Home Front,aluf mishne,60100,commander of chativa
18032,Abe Gonoude,2,Southern,sgan aluf,77223,commander of gdud
18033,Angelina Pindar,3,Home Front,aluf mishne,47359,commander of chativa
18034,Cristionna Kennford,5,Home Front,tat aluf,42790,commander of ugda
18035,Brittni Uzielli,5,Home Front,sgan aluf,72091,commander of gdud
18036,Cosme Masser,1,Home Front,seren,53816,commander of pluga
18037,Lanette Philpot,4,Southern,aluf mishne,14670,commander of chativa
18038,Valeria Swadlin,2,Southern,seren,2664,commander of pluga
18039,Gasparo Walczynski,1,Northern,tat aluf,26822,commander of ugda
18040,Gayler Gonzalez,3,Northern,rav seren,82693,commander of pluga
18041,Bertie Gemeau,3,Central,aluf,57831,commander of gdud
18042,Muffin Vonderdell,3,Southern,aluf,91677,commander of gdud
18043,Cord Abbots,5,Northern,rav seren,22991,commander of pluga
18044,Dido Bute,5,Southern,tat aluf,59469,commander of ugda
18045,Shawn Brawley,2,Northern,rav seren,18028,commander of pluga
18046,Gabbi Helling,4,Home Front,aluf,86651,commander of pluga
18047,Clemmie Grove,4,Southern,aluf,36913,commander of command
18048,Maddi Wallman,2,Northern,seren,24507,commander of pluga
18049,Angeli Hammant,3,Central,sgan aluf,15917,commander of pluga
18050,Becka Ausello,4,Home Front,tat aluf,19614,commander of ugda
18051,Teresa Verdon,3,Northern,tat aluf,99844,commander of ugda
18052,Kelwin Dibbert,1,Northern,aluf,54703,commander of pluga
18053,Graham Death,5,Central,sgan aluf,14251,commander of gdud
18054,Mahalia Strick,4,Central,aluf mishne,32707,commander of chativa
18055,Harriott Hague,4,Southern,aluf mishne,31640,commander of chativa
18056,Mareah Dacres,2,Home Front,tat aluf,15786,commander of ugda
18057,Tori Walder,3,Central,rav seren,79394,commander of pluga
18058,Ethelin Callar,3,Northern,aluf mishne,32629,commander of chativa
18059,Caesar Deniskevich,2,Home Front,seren,18001,commander of pluga
18060,Hillie Antyshev,5,Southern,aluf mishne,91795,commander of chativa
18061,Flemming Narracott,4,Central,rav seren,70688,commander of pluga
18062,Nickolas Rogez,1,Home Front,tat aluf,91386,commander of ugda
18063,Georgeta Winslade,2,Central,rav seren,30821,commander of pluga
18064,Germaine Coombes,1,Northern,rav seren,25595,commander of pluga
18065,Gherardo Dowda,3,Home Front,aluf,44141,commander of pluga
18066,Torre Jannings,1,Northern,rav seren,12631,commander of pluga
18067,Jodie Connold,3,Northern,aluf,61353,commander of gdud
18068,Corbet Leathley,3,Northern,rav seren,47539,commander of pluga
18069,Theodoric Fazakerley,3,Southern,aluf,53320,commander of gdud
18070,Gwenora Gyorgy,5,Southern,rav seren,70097,commander of pluga
18071,Simonne Drees,4,Southern,rav seren,23190,commander of pluga
18072,Anselma Monteith,5,Central,aluf,92442,commander of pluga
18073,Vitoria Shanley,1,Northern,sgan aluf,34855,commander of gdud
18074,Fredi De Maine,5,Central,aluf,48635,commander of command
18075,Gordan Hirsthouse,2,Northern,seren,15076,commander of pluga
18076,Arabela Filpi,5,Central,aluf,44528,commander of pluga
18077,Quincey Thunnercliff,3,Central,aluf,16874,commander of gdud
18078,Wenona Brickdale,4,Southern,aluf mishne,69011,commander of chativa
18079,Laetitia Creenan,1,Southern,aluf,64776,commander of gdud
18080,Heda Assel,4,Home Front,tat aluf,80725,commander of ugda
18081,Maybelle Southon,4,Home Front,aluf,3451,commander of command
18082,Lucho Gwyneth,3,Northern,sgan aluf,38840,commander of pluga
18083,Maren Leek,1,Southern,tat aluf,90211,commander of ugda
18084,Tanney Walentynowicz,3,Northern,aluf mishne,57608,commander of chativa
18085,Georgi Cowoppe,5,Southern,seren,21128,commander of pluga
18086,Elyssa Tribell,5,Southern,tat aluf,81855,commander of ugda
18087,Joete Buxey,3,Home Front,sgan aluf,44401,commander of pluga
18088,Dawn Rolfini,1,Northern,aluf,84562,commander of pluga
18089,Bernette Goudge,5,Northern,seren,79072,commander of pluga
18090,Hadleigh Fensome,1,Home Front,aluf mishne,52472,commander of chativa
18091,Rebekah Tombleson,4,Central,aluf,86931,commander of pluga
18092,Carmine Loftus,2,Home Front,tat aluf,81805,commander of ugda
18093,Seth Wartonby,1,Southern,seren,27109,commander of pluga
18094,Gaby Friett,4,Home Front,sgan aluf,44426,commander of pluga
18095,Garry Scotfurth,1,Central,tat aluf,43228,commander of ugda
18096,Brandyn Spearman,5,Northern,aluf,56122,commander of pluga
18097,Hillary Taylo,2,Northern,aluf,49818,commander of command
18098,Barb Weddeburn - Scrimgeour,2,Central,aluf mishne,99128,commander of chativa
18099,Paddie Alyokhin,2,Southern,rav seren,36531,commander of pluga
18100,Kevan Boecke,1,Home Front,seren,44047,commander of pluga
18101,Cathyleen Fonzone,2,Home Front,tat aluf,99609,commander of ugda
18102,Tawnya Roget,5,Home Front,seren,62714,commander of pluga
18103,Coraline Revington,3,Central,tat aluf,10806,commander of ugda
18104,Niccolo Casone,4,Central,tat aluf,53720,commander of ugda
18105,Piotr Moral,3,Southern,aluf,92919,commander of gdud
18106,Violetta Farnell,3,Southern,rav seren,28790,commander of pluga
18107,Melony Osbourn,1,Central,tat aluf,3728,commander of ugda
18108,Lesley Ould,3,Southern,seren,39973,commander of pluga
18109,Ekaterina Wiffield,1,Home Front,sgan aluf,30244,commander of gdud
18110,Llewellyn Masding,4,Central,rav seren,92183,commander of pluga
18111,Matilda Willoughley,5,Southern,tat aluf,86160,commander of ugda
18112,Gibb Cod,3,Northern,aluf mishne,23078,commander of chativa
18113,Prent Stearley,1,Northern,rav seren,88897,commander of pluga
18114,Cirillo Portch,2,Northern,rav seren,67796,commander of pluga
18115,Bambi Gullis,5,Central,sgan aluf,10706,commander of pluga
18116,Letisha Foot,5,Northern,tat aluf,8074,commander of ugda
18117,Cher Philippon,2,Northern,sgan aluf,72162,commander of gdud
18118,Craggy Margerrison,3,Southern,sgan aluf,55698,commander of pluga
18119,Merline Wadman,4,Home Front,seren,1846,commander of pluga
18120,Erv Beever,4,Southern,tat aluf,98910,commander of ugda
18121,Dmitri Brown,5,Home Front,tat aluf,72803,commander of ugda
18122,Ivory Tinan,5,Northern,rav seren,22761,commander of pluga
18123,Desiri Warricker,5,Southern,rav seren,68078,commander of pluga
18124,Corny Andras,2,Central,seren,59608,commander of pluga
18125,Jacinta Alelsandrowicz,2,Northern,sgan aluf,34377,commander of gdud
18126,Marv Matchell,3,Southern,aluf mishne,66545,commander of chativa
18127,Marshall Savill,5,Southern,seren,97513,commander of pluga
18128,Rancell Padilla,4,Home Front,aluf mishne,65558,commander of chativa
18129,Selina Palffrey,4,Home Front,tat aluf,37713,commander of ugda
18130,Rollie Village,3,Central,tat aluf,90633,commander of ugda
18131,Beret Jagger,4,Home Front,seren,23216,commander of pluga
18132,Darice Peret,5,Central,aluf mishne,89632,commander of chativa
18133,Cassius Jacobowitz,4,Northern,tat aluf,89480,commander of ugda
18134,Agosto Cissen,2,Northern,aluf,77147,commander of command
18135,Dael Broady,2,Central,aluf mishne,59610,commander of chativa
