commander_id,commander_name,classification,command,rank,number_of_soldiers,role
12001,Rorke Jurca,4,Northern,sgan aluf,5265,commander of gdud
12002,Sileas Capelen,1,Northern,aluf mishne,33054,commander of chativa
12003,Basil Mendus,1,Southern,aluf mishne,49610,commander of chativa
12004,Alexandr Vickers,1,Central,aluf,37282,commander of pluga
12005,Buddy Geerdts,2,Southern,tat aluf,76134,commander of ugda
12006,Banky Riccetti,2,Southern,sgan aluf,3152,commander of pluga
12007,Alethea Leftbridge,5,Central,seren,13835,commander of pluga
12008,Ninette Chaudron,1,Southern,sgan aluf,13022,commander of pluga
12009,Charlena Lucy,2,Central,aluf mishne,65268,commander of chativa
12010,Lacy Layzell,4,Southern,tat aluf,85932,commander of ugda
12011,Thomasin Semor,4,Southern,rav seren,62816,commander of pluga
12012,Donovan Guy,4,Home Front,aluf,82490,commander of command
12013,Mario Greydon,3,Northern,aluf mishne,84051,commander of chativa
12014,Candie Paff,5,Northern,rav seren,66245,commander of pluga
12015,Addison Haggart,5,Home Front,seren,46640,commander of pluga
12016,Lynda Porker,1,Northern,aluf mishne,61506,commander of chativa
12017,Gideon Paskin,5,Central,aluf mishne,28049,commander of chativa
12018,Flossie Cauthra,1,Southern,aluf,79811,commander of command
12019,Tris Middlehurst,5,Central,seren,51154,commander of pluga
12020,Pepi Seemmonds,2,Northern,tat aluf,55365,commander of ugda
12021,Hana Willets,1,Home Front,seren,31847,commander of pluga
12022,Brion Crocetto,3,Home Front,tat aluf,39352,commander of ugda
12023,Marni Cheesworth,2,Southern,aluf mishne,24512,commander of chativa
12024,Tucky Nordass,1,Northern,seren,55179,commander of pluga
12025,Corrina Capon,5,Home Front,rav seren,58103,commander of pluga
12026,Isabelle Garnar,2,Central,seren,86436,commander of pluga
12027,Bruno Pringle,3,Northern,rav seren,34757,commander of pluga
12028,Tuckie Kirton,1,Southern,tat aluf,41959,commander of ugda
12029,Sonja Sydry,5,Northern,tat aluf,31374,commander of ugda
12030,Errol Warriner,2,Southern,tat aluf,11953,commander of ugda
12031,Alina Lutwidge,1,Northern,sgan aluf,76006,commander of gdud
12032,Gustave Velden,3,Home Front,aluf,18167,commander of pluga
12033,Jeremiah Charlson,2,Home Front,aluf,30902,commander of command
12034,Janeva Farley,4,Home Front,aluf mishne,88363,commander of chativa
12035,Linet Scotti,4,Central,seren,33504,commander of pluga
12036,Lanna Gaskin,3,Northern,aluf mishne,23200,commander of chativa
12037,Corbet Hyam,4,Northern,aluf,79629,commander of gdud
12038,Elvyn Robertucci,1,Southern,aluf mishne,63098,commander of chativa
12039,Carleton Othick,2,Central,tat aluf,32804,commander of ugda
12040,Sheba Farish,4,Northern,tat aluf,73560,commander of ugda
12041,Homerus Starzaker,2,Southern,aluf mishne,91506,commander of chativa
12042,Taite Buckenhill,4,Home Front,seren,36143,commander of pluga
12043,Emelia Wallenger,4,Home Front,rav seren,89410,commander of pluga
12044,Vivyanne Hindhaugh,5,Central,tat aluf,84243,commander of ugda
12045,Marvin Moro,3,Central,rav seren,2557,commander of pluga
12046,Kimberlee Hebbard,4,Home Front,aluf,21591,commander of pluga
12047,Juliane Mitrovic,3,Central,tat aluf,14507,commander of ugda
12048,Ki Williscroft,5,Southern,aluf,35418,commander of command
12049,Drusie Flanner,2,Northern,aluf mishne,20704,commander of chativa
12050,Devlen Klammt,1,Southern,aluf mishne,89287,commander of chativa
12051,Bailey Wiggins,1,Central,rav seren,46714,commander of pluga
12052,Sebastien Sanchiz,4,Northern,rav seren,70588,commander of pluga
12053,Cosimo MacHostie,4,Northern,aluf,20402,commander of gdud
12054,Tessie Bourrel,4,Northern,tat aluf,95656,commander of ugda
12055,Dido Diamond,5,Home Front,seren,33767,commander of pluga
12056,Albie Maggs,5,Northern,aluf,75192,commander of pluga
12057,Kippar Crosgrove,2,Central,aluf mishne,40328,commander of chativa
12058,Kora Gallegos,2,Central,aluf,61230,commander of command
12059,Annalise Amerighi,3,Home Front,sgan aluf,68889,commander of gdud
12060,Maddi Elloit,4,Northern,tat aluf,99885,commander of ugda
12061,Merill Christopher,3,Southern,rav seren,17080,commander of pluga
12062,Kennett Greenham,4,Northern,seren,80416,commander of pluga
12063,Tamarah Boyfield,1,Central,seren,44310,commander of pluga
12064,Faina Jacobson,3,Northern,rav seren,69145,commander of pluga
12065,Farlie Duckinfield,5,Central,aluf,65325,commander of gdud
12066,Jaquelin Duley,1,Central,rav seren,48991,commander of pluga
12067,Rudiger Jewis,3,Northern,seren,93735,commander of pluga
12068,Harriott Guilliatt,5,Southern,aluf mishne,23244,commander of chativa
12069,Brant Gianilli,5,Central,tat aluf,40045,commander of ugda
12070,Bryanty Shurman,2,Central,tat aluf,16078,commander of ugda
12071,Adeline Langstone,2,Central,aluf,23607,commander of gdud
12072,Gregoor Collyer,4,Northern,rav seren,49282,commander of pluga
12073,Morry Blinkhorn,4,Central,aluf,28590,commander of pluga
12074,Riannon Sipson,4,Northern,sgan aluf,48720,commander of pluga
12075,Elvin Rudeyeard,4,Central,seren,75130,commander of pluga
12076,Lauraine Gradly,5,Home Front,tat aluf,61143,commander of ugda
12077,Donelle McLennan,5,Home Front,tat aluf,5478,commander of ugda
12078,Rorke Bernardt,5,Southern,rav seren,81145,commander of pluga
12079,Rodi Vlahos,1,Northern,rav seren,76148,commander of pluga
12080,Matteo Kirley,3,Northern,rav seren,83876,commander of pluga
12081,Prudence Belin,4,Northern,aluf mishne,63855,commander of chativa
12082,Lidia Tainton,5,Southern,aluf,77914,commander of gdud
12083,Lawton Yakebowitch,5,Home Front,aluf,6297,commander of command
12084,Marita Chatres,4,Northern,seren,88874,commander of pluga
12085,Shana Giscken,3,Home Front,seren,13294,commander of pluga
12086,Nicola Newitt,1,Central,rav seren,39488,commander of pluga
12087,Chalmers Sharpling,5,Northern,aluf mishne,4132,commander of chativa
