commander_id,commander_name,classification,command,rank,number_of_soldiers,role
7001,Vilhelmina Wulfinger,1,Home Front,aluf,48731,commander of pluga
7002,Selig Rawsen,4,Northern,aluf mishne,45113,commander of chativa
7003,Alvira Ferreiro,4,Central,tat aluf,44331,commander of ugda
7004,Timothy Pandie,4,Southern,rav seren,7068,commander of pluga
7005,Lavinie Beesley,1,Northern,tat aluf,68218,commander of ugda
7006,Cathi McCuis,5,Northern,aluf,10010,commander of gdud
7007,Lelah Dubock,5,Home Front,sgan aluf,20521,commander of pluga
7008,Rebeca Dewi,5,Central,aluf,15774,commander of command
7009,Scarface Magauran,1,Northern,rav seren,17347,commander of pluga
7010,Laurice Chittim,5,Southern,seren,26234,commander of pluga
7011,Eve Coghlin,5,Central,tat aluf,22240,commander of ugda
7012,Nicholas Pittock,3,Northern,rav seren,29830,commander of pluga
7013,Boyce Milnthorpe,1,Central,seren,68209,commander of pluga
7014,Alma Edes,1,Central,aluf,27540,commander of command
7015,Barbara-anne Galbraith,4,Northern,seren,98306,commander of pluga
7016,Brittany Ragot,2,Home Front,tat aluf,54340,commander of ugda
7017,Corissa Bayly,2,Northern,seren,39032,commander of pluga
7018,Diane Wickliffe,2,Central,seren,85437,commander of pluga
7019,Melba Sheilds,5,Home Front,rav seren,95879,commander of pluga
7020,Carlen Klassman,4,Home Front,seren,47083,commander of pluga
7021,Zerk Fordyce,3,Southern,aluf mishne,48779,commander of chativa
7022,Karrie Westgate,5,Central,aluf mishne,28582,commander of chativa
7023,Dom Hoofe,3,Southern,tat aluf,89630,commander of ugda
7024,Casandra Haggath,3,Central,rav seren,21597,commander of pluga
7025,Siegfried Roelvink,5,Southern,rav seren,66325,commander of pluga
7026,Pincus Waszczyk,3,Home Front,seren,94780,commander of pluga
7027,Analiese Junkin,3,Central,seren,94098,commander of pluga
7028,Rodge Gowrie,5,Southern,aluf,63238,commander of pluga
7029,Renaldo Naisbit,3,Northern,aluf mishne,74622,commander of chativa
7030,Rianon Durand,1,Southern,aluf mishne,51559,commander of chativa
7031,Mada Evitts,1,Home Front,rav seren,86116,commander of pluga
7032,Maia Melding,4,Central,seren,78020,commander of pluga
7033,Veronika Fidge,5,Northern,tat aluf,36966,commander of ugda
7034,Eartha Heild,2,Southern,rav seren,96295,commander of pluga
7035,Cirillo Paullin,4,Central,rav seren,43908,commander of pluga
7036,Frasier Laffan,3,Southern,aluf,65761,commander of gdud
7037,Leonora Sphinxe,3,Central,rav seren,18538,commander of pluga
7038,Tymothy Exter,4,Home Front,rav seren,79861,commander of pluga
7039,Felicia de Cullip,2,Central,aluf mishne,21453,commander of chativa
7040,Sigismund Kitchingham,3,Northern,seren,73544,commander of pluga
7041,Barclay McEnteggart,4,Home Front,aluf,82873,commander of pluga
7042,Charita McAndie,4,Northern,seren,96336,commander of pluga
7043,Grover Portail,5,Southern,rav seren,41950,commander of pluga
7044,Minetta Spick,3,Home Front,sgan aluf,58008,commander of gdud
7045,Gerald Jervois,5,Northern,aluf mishne,44921,commander of chativa
7046,Hermia O'Crowley,1,Northern,sgan aluf,90370,commander of pluga
7047,Christopher Livens,4,Northern,aluf,47294,commander of gdud
7048,Bryanty Poon,2,Northern,seren,19985,commander of pluga
7049,Deva Shovlar,3,Home Front,seren,22324,commander of pluga
7050,Arvie Villiers,3,Central,rav seren,41355,commander of pluga
7051,Cinda Dongall,3,Central,aluf,90099,commander of command
7052,Addie Rising,5,Northern,rav seren,54755,commander of pluga
7053,Meridel Tolomio,5,Northern,rav seren,24588,commander of pluga
7054,Nichole Bee,1,Northern,sgan aluf,70048,commander of gdud
7055,Juanita Firmager,4,Central,aluf,34585,commander of gdud
7056,Marieann Easson,1,Central,tat aluf,57372,commander of ugda
7057,Oren Stebbings,5,Home Front,sgan aluf,51034,commander of pluga
7058,Bethena Gribbins,4,Southern,rav seren,47455,commander of pluga
7059,Sharlene Berndt,5,Central,rav seren,48611,commander of pluga
7060,Jed Matthew,5,Home Front,aluf,72271,commander of gdud
7061,Muffin Provis,4,Central,sgan aluf,81573,commander of gdud
7062,Ashley Aizikowitz,2,Home Front,aluf mishne,8737,commander of chativa
7063,Dione Romayne,2,Southern,tat aluf,22136,commander of ugda
7064,Sharla Crispin,1,Central,aluf mishne,62127,commander of chativa
7065,Coriss Peskett,5,Central,aluf,98934,commander of pluga
7066,Ferdie Doale,4,Northern,aluf mishne,66121,commander of chativa
7067,Laurianne Cuxson,2,Northern,aluf,64522,commander of pluga
7068,Blondie Lockhead,4,Home Front,tat aluf,58884,commander of ugda
7069,Mandy Marquot,4,Central,sgan aluf,29400,commander of gdud
7070,Glynis Benham,1,Home Front,tat aluf,70237,commander of ugda
7071,Aguste Vosper,1,Central,aluf mishne,6602,commander of chativa
7072,Eli Rabjohns,3,Home Front,seren,35201,commander of pluga
7073,Virgie Gudgen,4,Central,aluf,34213,commander of pluga
7074,Blaire Deverill,5,Central,tat aluf,48341,commander of ugda
7075,Laraine Behr,2,Home Front,aluf mishne,8905,commander of chativa
7076,Dannel Tattersill,4,Central,rav seren,6624,commander of pluga
7077,Jerald Cazalet,3,Home Front,rav seren,97545,commander of pluga
7078,Miner Treslove,2,Southern,sgan aluf,76606,commander of gdud
7079,Randi Hughson,4,Home Front,seren,30000,commander of pluga
7080,Meredith Tadlow,1,Northern,aluf,20977,commander of command
7081,Angelia Weale,3,Central,rav seren,45624,commander of pluga
7082,Alexio Carlton,4,Northern,sgan aluf,41396,commander of pluga
7083,Quincey Trewhitt,4,Southern,seren,70809,commander of pluga
7084,Arther Arbuckel,3,Home Front,seren,38519,commander of pluga
7085,Egon Tuck,3,Central,aluf mishne,32805,commander of chativa
7086,Arman Ansill,3,Home Front,aluf mishne,34461,commander of chativa
7087,Meade Smeaton,1,Central,rav seren,67639,commander of pluga
7088,Denice Arrowsmith,5,Home Front,sgan aluf,26499,commander of gdud
7089,Erinn Holde,2,Home Front,tat aluf,88239,commander of ugda
7090,Bettine Stritton,4,Northern,sgan aluf,70681,commander of gdud
7091,Kala Stillgoe,3,Southern,aluf mishne,85846,commander of chativa
7092,Blakeley Domelaw,4,Northern,sgan aluf,3583,commander of gdud
7093,Keane Brumbie,2,Central,seren,56679,commander of pluga
7094,Virgie Devereu,4,Southern,seren,26591,commander of pluga
7095,Flossy MacAlees,1,Southern,rav seren,1799,commander of pluga
7096,Delmor Caughan,4,Southern,sgan aluf,43520,commander of pluga
7097,Alane Allder,4,Home Front,sgan aluf,46055,commander of gdud
7098,Janeva Kiera,5,Central,seren,32618,commander of pluga
7099,Clarance Gawthrop,5,Northern,aluf,42757,commander of gdud
7100,Corrianne Widdicombe,1,Southern,seren,95332,commander of pluga
7101,Emeline Mitchiner,2,Central,rav seren,43956,commander of pluga
7102,Leesa Brickner,1,Southern,seren,3630,commander of pluga
7103,Lari Scholar,4,Northern,rav seren,36491,commander of pluga
7104,Carolin Alliberton,4,Central,seren,60316,commander of pluga
7105,Aloise Chopping,1,Central,tat aluf,6356,commander of ugda
7106,Tadd Windress,2,Southern,rav seren,3037,commander of pluga
