commander_id,commander_name,classification,command,rank,number_of_soldiers,role
14001,Penelope Aslott,2,Southern,seren,42349,commander of pluga
14002,Mitzi Presley,4,Home Front,aluf,35726,commander of command
14003,Dru Fulle,4,Home Front,seren,70661,commander of pluga
14004,Ashien Chown,5,Home Front,seren,79852,commander of pluga
14005,Frederico Jayume,2,Southern,rav seren,63183,commander of pluga
14006,Eulalie Trehearn,2,Central,seren,78690,commander of pluga
14007,Greg Thiem,1,Northern,seren,53911,commander of pluga
14008,Claudina Simakov,3,Central,seren,16528,commander of pluga
14009,Jackelyn Chatelet,3,Southern,rav seren,84149,commander of pluga
14010,Adelind Becom,5,Northern,seren,54717,commander of pluga
14011,Webb Summerscales,5,Northern,aluf,9337,commander of pluga
14012,Christina Kobisch,2,Home Front,rav seren,21800,commander of pluga
14013,Ulrike Moulding,1,Home Front,rav seren,63942,commander of pluga
14014,Willi Davie,4,Home Front,rav seren,37623,commander of pluga
14015,Nikolaus Ricciardelli,1,Central,tat aluf,13963,commander of ugda
14016,Olvan Morgans,4,Northern,tat aluf,88554,commander of ugda
14017,Emmalynne Kemston,2,Central,aluf,14641,commander of pluga
14018,Farrand Covotto,2,Northern,aluf,93118,commander of gdud
14019,Fianna Shapland,4,Southern,rav seren,54864,commander of pluga
14020,Aldridge Gliddon,5,Northern,seren,74721,commander of pluga
14021,Oby Harlick,4,Central,rav seren,87801,commander of pluga
14022,Zondra Terrill,2,Home Front,tat aluf,72930,commander of ugda
14023,Dannie Fotherby,5,Home Front,tat aluf,5960,commander of ugda
14024,Myron Lock,5,Central,seren,50770,commander of pluga
14025,Charlotta Szabo,2,Home Front,tat aluf,23280,commander of ugda
14026,Ursala Naptine,5,Southern,rav seren,86248,commander of pluga
14027,Anastasie Abrams,5,Central,seren,44704,commander of pluga
14028,Garvey Dawley,3,Northern,sgan aluf,91820,commander of pluga
14029,Raven Harragin,2,Home Front,aluf,42449,commander of gdud
14030,Jessalyn Oxlade,2,Northern,tat aluf,45759,commander of ugda
14031,Benedicto Skyrm,4,Southern,rav seren,57370,commander of pluga
14032,Kerry Seabright,4,Northern,aluf,81935,commander of gdud
14033,Sutton Treadgold,4,Home Front,aluf mishne,4200,commander of chativa
14034,Goober Pachmann,3,Southern,aluf,51971,commander of command
14035,Andra Wadly,1,Central,rav seren,65073,commander of pluga
14036,Nikaniki Ethersey,2,Southern,aluf,61393,commander of command
14037,Baxie Sharman,3,Central,rav seren,18478,commander of pluga
14038,Terrance Jerwood,2,Northern,sgan aluf,15047,commander of pluga
14039,Wenonah Pothbury,5,Home Front,aluf,31684,commander of pluga
14040,Carolan Fake,2,Northern,sgan aluf,61213,commander of pluga
14041,Alyosha Wilmore,3,Home Front,sgan aluf,66365,commander of gdud
14042,Dalston Askaw,1,Home Front,seren,67913,commander of pluga
14043,Uriah Orniz,5,Southern,seren,43128,commander of pluga
14044,Bron Ogger,3,Central,seren,98929,commander of pluga
14045,Cissy Vousden,1,Northern,rav seren,30109,commander of pluga
14046,Ase Ranfield,5,Northern,aluf,44872,commander of pluga
14047,Wyatan Turbern,5,Central,seren,90073,commander of pluga
14048,Mirna Bootland,3,Home Front,tat aluf,92621,commander of ugda
14049,Audry Nutley,1,Southern,tat aluf,73620,commander of ugda
14050,Jolie Matiasek,3,Central,aluf mishne,44336,commander of chativa
14051,Grantham Beine,5,Central,rav seren,79739,commander of pluga
14052,Chester Dowrey,1,Home Front,sgan aluf,51757,commander of gdud
14053,Joly Hallihan,1,Central,seren,23141,commander of pluga
14054,Nickey Perago,1,Home Front,tat aluf,24258,commander of ugda
